Temat,Lokalizacja,Data rozpoczêcia,Czas rozpoczêcia,Data zakoñczenia,Czas zakoñczenia,Przypomnienie w³./wy³.,Data przypomnienia,Czas przypomnienia
Bezpieczeñstwo pracy i ergonomia. (w) [6],101 65,2024-01-14,09:50,2024-01-14,11:25,Fa³sz,2024-01-14,09:50
Podstawy bezpieczeñstwa informacji (L) [1],120 65,2024-01-14,11:40,2024-01-14,13:15,Fa³sz,2024-01-14,11:40
Podstawy bezpieczeñstwa informacji (L) [2],120 65,2024-01-14,13:30,2024-01-14,15:05,Fa³sz,2024-01-14,13:30
Bezpieczeñstwo pracy i ergonomia. (L) [2],121 65,2024-01-14,15:45,2024-01-14,17:20,Fa³sz,2024-01-14,15:45
Metody programowania .NET (L) [5],226 S,2024-01-14,17:35,2024-01-14,19:10,Fa³sz,2024-01-14,17:35
Podstawy symulacji (L) [5],223 S,2024-01-20,08:00,2024-01-20,09:35,Fa³sz,2024-01-20,08:00
Podstawy bezpieczeñstwa informacji (L) [3],120 65,2024-01-20,09:50,2024-01-20,11:25,Fa³sz,2024-01-20,09:50
Metody eksploracji danych (L) [6],226 S,2024-01-20,11:40,2024-01-20,13:15,Fa³sz,2024-01-20,11:40
Metody programowania .NET (w) [5],309 S,2024-01-20,13:30,2024-01-20,15:05,Fa³sz,2024-01-20,13:30
Grafika komputerowa (L) [9],226 S,2024-01-20,15:45,2024-01-20,17:20,Fa³sz,2024-01-20,15:45
Grafika komputerowa (L) [10],226 S,2024-01-20,17:35,2024-01-20,19:10,Fa³sz,2024-01-20,17:35
Niezawodnoœæ systemów komputerowych (æ) [5],309 S,2024-01-21,08:00,2024-01-21,09:35,Fa³sz,2024-01-21,08:00
Hurtownie danych (L) [5],226 S,2024-01-21,09:50,2024-01-21,11:25,Fa³sz,2024-01-21,09:50
Podstawy zarz¹dzania i przedsiêbiorczoœci (æ) [3],308 S,2024-01-21,11:40,2024-01-21,13:15,Fa³sz,2024-01-21,11:40
Podstawy zarz¹dzania i przedsiêbiorczoœci (æ) [4],308 S,2024-01-21,13:30,2024-01-21,15:05,Fa³sz,2024-01-21,13:30
Programowanie w jêzykach funkcyjnych (L) [4],226 S,2024-01-21,15:45,2024-01-21,17:20,Fa³sz,2024-01-21,15:45
Programowanie w jêzykach funkcyjnych (L) [5],226 S,2024-01-21,17:35,2024-01-21,19:10,Fa³sz,2024-01-21,17:35
Wprowadzenie do in¿ynierii systemów (E) [1],317 S,2024-01-27,09:50,2024-01-27,11:25,Fa³sz,2024-01-27,09:50
Metody eksploracji danych (E) [1],226 S,2024-01-28,09:50,2024-01-28,11:25,Fa³sz,2024-01-28,09:50
Grafika komputerowa (E) [1],308 S,2024-02-03,09:50,2024-02-03,11:25,Fa³sz,2024-02-03,09:50
Grafika komputerowa (Ep) [1],308 S,2024-02-10,09:50,2024-02-10,11:25,Fa³sz,2024-02-10,09:50
Wprowadzenie do in¿ynierii systemów (Ep) [1],317 S,2024-02-10,13:30,2024-02-10,15:05,Fa³sz,2024-02-10,13:30
Metody eksploracji danych (Ep) [1],226 S,2024-02-11,09:50,2024-02-11,11:25,Fa³sz,2024-02-11,09:50
Grafika komputerowa (Ep) [2],308 S,2024-02-17,09:50,2024-02-17,11:25,Fa³sz,2024-02-17,09:50
Wprowadzenie do in¿ynierii systemów (Ep) [2],226 S,2024-02-17,11:40,2024-02-17,13:15,Fa³sz,2024-02-17,11:40
Metody eksploracji danych (Ep) [2],226 S,2024-02-18,09:50,2024-02-18,11:25,Fa³sz,2024-02-18,09:50
